symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TATLY,2021-02-03 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-04 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-05 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-08 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-09 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-10 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-11 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-12 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-16 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-17 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-18 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-19 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-22 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-23 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-24 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-25 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-02-26 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-01 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-02 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-03 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-04 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-05 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-08 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-09 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-10 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-11 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-12 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-15 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-16 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-17 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-18 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-19 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-22 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-23 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-24 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-25 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-26 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-29 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-30 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-03-31 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-01 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-05 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-06 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-07 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-08 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-09 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-12 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-13 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-14 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-15 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-16 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-19 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-20 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-21 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-22 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-23 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-26 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-27 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-28 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-29 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-04-30 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-03 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-04 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-05 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-06 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-07 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-10 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-11 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-12 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-13 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-14 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-17 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-18 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-19 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-20 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-21 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-24 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-25 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-26 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-27 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-05-28 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-06-01 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-06-02 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-06-03 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-06-04 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-06-07 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-06-08 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-06-09 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-06-10 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-06-11 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-06-14 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-06-15 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.3644473411,8.3644473411,8.3644473411,8.3644473411,0,0.0,1.0
TATLY,2021-06-16 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.318925,1.0
TATLY,2021-06-17 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-06-18 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-06-21 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-06-22 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-06-23 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-06-24 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-06-25 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-06-28 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-06-29 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-06-30 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-01 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-02 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-06 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-07 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-08 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-09 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-12 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-13 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-14 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-15 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-16 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-19 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-20 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-21 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-22 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-23 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-26 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-27 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-28 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-29 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-07-30 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-02 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-03 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-04 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-05 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-06 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-09 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-10 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-11 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-12 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-13 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-16 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-17 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-18 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-19 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-20 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-23 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-24 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-25 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-26 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-27 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-30 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-08-31 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-01 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-02 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-03 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-07 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-08 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-09 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-10 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-13 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-14 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-15 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-16 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-17 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-20 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-21 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-22 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-23 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-24 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-27 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-28 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-29 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-09-30 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-10-01 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-10-04 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-10-05 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-10-06 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-10-07 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-10-08 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-10-11 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-10-12 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-10-13 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-10-14 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
TATLY,2021-10-15 00:00:00+00:00,9.25,9.25,9.25,9.25,0,8.6528399215,8.6528399215,8.6528399215,8.6528399215,0,0.0,1.0
